GO,Interpro,n,n_go,n_ip,s
GO:0000390,IPR022159,10,24,10,0.5882352941176471
GO:0000390,IPR022783,11,24,15,0.5641025641025641
GO:0000390,IPR044762,7,24,7,0.45161290322580644
GO:0000393,IPR004179,9,38,30,0.2647058823529412
GO:0000393,IPR013915,8,38,8,0.34782608695652173
GO:0000393,IPR041094,9,38,9,0.3829787234042553
GO:0000394,IPR006677,22,95,22,0.37606837606837606
GO:0000394,IPR006678,12,95,12,0.22429906542056074
GO:0000394,IPR010655,27,95,30,0.432
GO:0000394,IPR032319,27,95,56,0.3576158940397351
GO:0000394,IPR032324,27,95,30,0.432
GO:0000395,IPR000690,30,54,52,0.5660377358490566
GO:0000395,IPR003604,29,54,117,0.3391812865497076
GO:0000395,IPR013085,29,54,40,0.6170212765957447
GO:0000398,IPR000504,324,986,1003,0.3257918552036199
GO:0000400,IPR000432,20,80,89,0.23668639053254437
GO:0000400,IPR007695,17,80,68,0.22972972972972974
GO:0000400,IPR007696,20,80,88,0.23809523809523808
GO:0000400,IPR007860,19,80,71,0.25165562913907286
GO:0000400,IPR007861,18,80,65,0.2482758620689655
GO:0000400,IPR013632,20,80,45,0.32
GO:0000400,IPR020588,21,80,82,0.25925925925925924
GO:0000402,IPR015242,3,4,3,0.8571428571428571
GO:0000403,IPR013882,6,29,7,0.3333333333333333
GO:0000403,IPR018982,5,29,19,0.20833333333333334
GO:0000403,IPR019518,6,29,8,0.32432432432432434
GO:0000406,IPR007695,9,17,68,0.21176470588235294
GO:0000406,IPR007860,10,17,71,0.22727272727272727
GO:0000406,IPR007861,10,17,65,0.24390243902439024
GO:0000406,IPR013882,6,17,7,0.5
GO:0000406,IPR019518,6,17,8,0.48
GO:0000407,IPR015412,18,127,27,0.23376623376623376
GO:0000407,IPR018731,18,127,22,0.24161073825503357
GO:0000407,IPR032197,15,127,16,0.2097902097902098
GO:0000408,IPR000905,63,75,73,0.8513513513513513
GO:0000412,IPR041232,3,3,16,0.3157894736842105
GO:0000413,IPR001179,37,110,114,0.33035714285714285
GO:0000413,IPR002130,71,110,167,0.5126353790613718
GO:0000414,IPR017923,16,39,50,0.3595505617977528
GO:0000415,IPR031628,2,4,3,0.5714285714285714
GO:0000415,IPR032365,2,4,4,0.5
GO:0000416,IPR003655,3,13,16,0.20689655172413793
GO:0000416,IPR041306,2,13,5,0.2222222222222222
GO:0000416,IPR044417,4,13,5,0.4444444444444444
GO:0000417,IPR011494,24,26,25,0.9411764705882353
GO:0000419,IPR005571,3,13,14,0.2222222222222222
GO:0000421,IPR006614,6,33,20,0.22641509433962265
GO:0000421,IPR010482,6,33,12,0.26666666666666666
GO:0000421,IPR013923,7,33,10,0.32558139534883723
GO:0000422,IPR015412,18,135,27,0.2222222222222222
GO:0000422,IPR018731,18,135,22,0.22929936305732485
GO:0000422,IPR033745,17,135,19,0.22077922077922077
GO:0000423,IPR018731,18,28,22,0.72
GO:0000423,IPR033741,4,28,4,0.25
GO:0000430,IPR013890,3,24,5,0.20689655172413793
GO:0000432,IPR013638,2,5,12,0.23529411764705882
GO:0000432,IPR018533,2,5,8,0.3076923076923077
GO:0000433,IPR013890,3,19,5,0.25
GO:0000437,IPR013890,2,4,5,0.4444444444444444
GO:0000438,IPR004595,2,4,7,0.36363636363636365
GO:0000438,IPR007198,2,4,7,0.36363636363636365
GO:0000438,IPR040662,2,4,8,0.3333333333333333
GO:0000439,IPR005607,9,36,17,0.33962264150943394
GO:0000439,IPR006935,13,36,51,0.2988505747126437
GO:0000439,IPR013876,9,36,9,0.4
GO:0000439,IPR032438,13,36,13,0.5306122448979592
GO:0000439,IPR032830,12,36,12,0.5
GO:0000439,IPR040662,8,36,8,0.36363636363636365
GO:0000445,IPR021418,5,12,6,0.5555555555555556
GO:0000445,IPR021726,5,12,6,0.5555555555555556
GO:0000445,IPR032302,5,12,6,0.5555555555555556
GO:0000447,IPR024626,7,47,7,0.25925925925925924
GO:0000447,IPR034353,15,47,15,0.4838709677419355
GO:0000448,IPR032319,15,23,56,0.379746835443038
GO:0000451,IPR000878,11,33,45,0.28205128205128205
GO:0000451,IPR001537,16,33,39,0.4444444444444444
GO:0000451,IPR013123,16,33,22,0.5818181818181818
GO:0000453,IPR000878,11,27,45,0.3055555555555556
GO:0000453,IPR001537,14,27,39,0.42424242424242425
GO:0000453,IPR013123,14,27,22,0.5714285714285714
GO:0000455,IPR002942,31,57,165,0.27927927927927926
GO:0000455,IPR006145,51,57,67,0.8225806451612904
GO:0000459,IPR001247,21,67,115,0.23076923076923078
GO:0000462,IPR012954,17,147,18,0.20606060606060606
GO:0000462,IPR022125,17,147,18,0.20606060606060606
GO:0000463,IPR012953,23,196,25,0.2081447963800905
GO:0000463,IPR016082,31,196,65,0.23754789272030652
GO:0000463,IPR035808,31,196,32,0.2719298245614035
GO:0000467,IPR001247,21,65,115,0.23333333333333334
GO:0000470,IPR004038,40,238,89,0.24464831804281345
GO:0000470,IPR016082,31,238,65,0.20462046204620463
GO:0000470,IPR035808,31,238,32,0.22962962962962963
GO:0000472,IPR034353,15,36,15,0.5882352941176471
GO:0000478,IPR032319,15,76,56,0.22727272727272727
GO:0000478,IPR034353,15,76,15,0.32967032967032966
GO:0000479,IPR032319,15,73,56,0.23255813953488372
GO:0000479,IPR034353,15,73,15,0.3409090909090909
GO:0000480,IPR034353,15,36,15,0.5882352941176471
GO:0000491,IPR007009,9,70,9,0.22784810126582278
GO:0000491,IPR010339,30,70,32,0.5882352941176471
GO:0000491,IPR012981,10,70,21,0.21978021978021978
GO:0000491,IPR041048,30,70,32,0.5882352941176471
